Number of vertices: 18
Start vertex:       12

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17
----------------------------------------------------------------------------------------------
  0 |    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
  1 |    0    0    0   11    0    0    0    0   15    0    0    0    0    0    0    0    0    0
  2 |    0    0    0    0   42    0    0    0    0    0    0   68    0    0    0    0    0    0
  3 |    0   93    0    0    0    0    0    0    0   52   25    0    0    0    0    0    0    0
  4 |    0    0   15   94    0    0    0    0    0    0    0    0    0    0    0    0    2    0
  5 |    0    0    0   42    0    0   66    0    0    0    0    0    0    0    0    0    0    0
  6 |    0   32    0    0    0    0    0    0    0    0    0    0   74   48    0   61    0    0
  7 |    0    7    0    0    0    0    0    0    0   57   51    0    0   86    0    0    0    0
  8 |    0    0    0    0    8    0    0    0    0    0    0    0    0    0    0    0    0    0
  9 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   89    0
 10 |    0    0    0   66    0    0    0    0    0    0    0    0    0    0   40    0    0    0
 11 |    0    0    0    0    0    7    0   49   62    0    0    0    0    0    0    0    0    0
 12 |   82   17    0   91    0    0    0   57    0    0    0    0    0    0    0    0    0    0
 13 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 14 |   71    0    0    0    0    0    0   64    0    0    0    0    0    0    0    0    0    0
 15 |    0    6    0    0    0    0    0    0    0    0    0    0    0    0    0    0   17    0
 16 |    0    0    0    0    0   28    0    0   81    0    0    0    0    0    0    0    0    0
 17 |    0    0    0    0   86   85    0    0    0    0    0    0    0    0    0    0    0    0
