Number of vertices: 21
Start vertex:       11

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20
-------------------------------------------------------------------------------------------------------------
  0 |    0    0    0   68    0    0    0    0    0   21    0    0   80    0    0    0    0   19   90   85    0
  1 |    0    0    0   47   60    0    0    0    0    0   41    0    0    0    0    0    0    0    0    0    0
  2 |    0    0    0    0    0    0    0   23    0    0    0    0    0    0   62    0    0    0    0    0    0
  3 |    0    0    0    0    0    0    0    0    0    0    0    0   22   89   35   20   12    0    0    0    0
  4 |    0    0    0    0    0    0   64    0    0   23   26    0    0    0    0    0   11   66    0    0    0
  5 |   97   64    0    0    0    0    0    0    0    0    0   50    0    0    0    0    0    0    0    0    0
  6 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  7 |    0    0   11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  8 |    0    0    0    0    0   91    0    0    0    0    0    0    0    0    0    0    0    0    0    0   75
  9 |    0    0    0    0    0    0   50    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 10 |    0   65    0    0    0    0    0    0    0    0    0   82    0    0   75    4   98    0    0    0    0
 11 |    0    0    0   72    0    0    0   83    0    0    0    0    0   29    0   33    0    0    0    0    0
 12 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 13 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0   56    0    0    0    0    0   10
 14 |    0    0    0    0   41    0    0   90    0    0    0    0    0    0    0    0    0    0    0    0    0
 15 |    0   46    0    0    0    0    0    0    0    0    0    0    0    7    0    0    0    0    0    0    0
 16 |    0    0   56    0    0    0    0    0    0    0    0    0   37    0   92    0    0    3    0   52    0
 17 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   61    0    0    0   93    0
 18 |    0    0    0    0    0    0    0    0    0    0   48    0    0    0    0    0   86    0    0    0    0
 19 |    0    0    0   51    0   38    0    0    0    0    0    0    0    0    0    0   41    0    0    0    0
 20 |    0    0    0    0    0    0    0    0    0    0   21   67    0    0    0    0    0    0    0    0    0
